昵称,性别,地区,评论,点赞
玄猶門,男,中国香港,1999可以買紅米K70E，應該用紅米K70E做對比！！！,1746
晚晴图画,保密,江苏,华为只有P和mate系列值得购买，我用华为用了6年了，从上学就开始用，以前荣耀和华为没分家前，荣耀可以说是华为的性价比，分家后华为只推荐p和mate系列，华为众所周知是用心做高端用脚做低端，我给家里人也是只买这两个系列。红米可以说挺不错的，红米真正贯彻了让每个人享受科技的红利，我买的红米的备用机，几百块钱的手机竟然有红外，日常使用也没毛病做为一台百元机可以说很称职了。华为的系统和品牌塑造很厉害，我换过苹果，魅族，三星等等各种牌子的手机，还是华为用的最舒服，我也只是买他的产品，好的产品就称赞，不好的产品就骂。我是消费者不是厂家的股东，产品选择自己认为对的最重要。,600
我真没有糖,保密,浙江,我在想8Gen3比这俩性能强多少，有没有大佬告知的[微笑],191
Zhiidao,保密,重庆,不懂的人真的太多了!!!,412
素雨星辰,保密,黑龙江,"小米（红米）还是有一些相对不太性价比的手机，比如civi系列，还有一些什么极速版（12极速是778G的芯片）、青春版之类的，小米之家或者小米商城都有售。这些手机和note系列和k系列不一样，可能是主打线下女性赛道或者均衡的水桶赛道，不过是较低一些的水桶。年初k60退三百块，我妈还一直用我们退下来的小米手机，就给她换了一个极速版的，本来想搞一个11t的，但用不了劵，她俩看了看最后选了12极速版，和需求正合适，她的需求就是微信、浏览器总裁小说、快手和全民K歌。
特别想吐槽一下，civi系列和极速版一类的设计师薄纱k系列的设计师，civi3比k60好看的不要太多",215
大疆技术支持,男,河南,务必提醒一下红米这个是充话费送的合约机，价格1999没有参考性,305
Phoenix-与问天下,男,吉林,这个11SE正儿八经售卖的产品，红米这种运营商定制机，有没有比较了解的兄弟，其他厂商有吗？,2981
蝉眠眠啊,保密,湖北,建议测评一下畅享70，1399，720P水滴屏，麒麟710A，这个才是今年的神机,362
龙呀小个霜,男,江苏,特意加了一台买不到的手机不让某手机太尴尬，挺好[doge],2655
古城の余曦あ,男,吉林,ov其实也有不少这种，不过今年这俩太火出圈了可能，你甚至能在v身上看到更逆天的1500档的micro  USB充电口，对你没听错，micro USB充电口。,193
大飞,保密,澳大利亚,能把千元机的配置卖上1999，本身也是一种“遥遥领先”,330
强迫症爱吃鱼,保密,福建,把稻草卖出黄金价，也就华为了，另外为难巨龙了，为了给华为挽尊特地找了台办卡免费送的手机来对比[笑哭],84
难忘霜,保密,江苏,哎，我这手机进化速度有点慢，希望花粉们可以教教怎么加快进化速度,57
小肖ffff,男,重庆,以前的同学有个华为销售，日常就是黑小米然后猛宣传nova11se[妙啊],255
bili_301138377,保密,四川,@水东揭秘 来看看艺术品[傲娇],14
鹅卵石firm,保密,河北,运营商定制，充话费送的,257
心有暖阳何惧人生荒凉,男,福建,我去线下销售主推nova11se，去小米之家店员给我推荐K70，note12Turbo,11
筱久久久z,男,甘肃,不敢拿k70e比是怕被冲吧,403
汤米-i,男,江苏,放个合约机让某11se不那么尴尬是吧[笑哭],156
閃刀姬丶零衣,女,甘肃,我想起高兴的事情，没绷住[偷笑],102
昵称,性别,地区,评论,点赞
心的东方,保密,广东,它这个后面还有空间的吗？就比如像米24那样的,0
T小朋友T,保密,山东,相较于M28外形的壮实健硕，8阿帕奇真的是显得精瘦干练，从任何角度看，这架武直真的是漂亮。希望UP能讲一讲科曼奇没落的一生。以及该机后续的隐形发展。,2
_Ordis_,保密,新疆,武装反抗的部落命名武装直升机，投降带路的命名运输机，white皮猪是懂命名的[doge],2
Machaさま,保密,黑龙江,小时候第一眼从彩图书上看到这架直升机就觉得真的好看，比其他奇形怪状的直升机帅太多了，真的就是强大和美学的结合,4
我不爱BigOther,男,加拿大,"现已加入dcs豪华午餐，游戏里你也可以开着带头喵系统的阿帕奇，用眼神指挥机炮砂仁[滑稽] 
另外dcs阿帕奇也有长弓雷达，尽管在游戏里基本上没啥卵用就是了，还不如激光天堂水",0
扬雨旗,男,江苏,"有没有可能，武器 飞控 火控 观测 发动机 装甲 软件都在不断的升级改进。
只是设计的那个载具架子结构一直在用，一直都还够用。",4
米米世界主义者,保密,陕西,只是气动形状五十年未变，航电雷达技术一直在进步,1
馬卡里烏斯之刃,男,山东,我卡52呢😡,0
Karotov,保密,内蒙古,阿帕奇厉害就在火力足、机动好，还有最最最重要一点，战场数据共享，这点我们就差很多,1
Loser是Dicker,保密,广东,军盲还在天天想着用无人机替代武装直升机，然而美军已经开始走无人机配合有人机的路线，阿帕奇可以控制好几个无人机，国内军盲喜欢斗兽棋，这个不行就要完全换一个,3
城破人空,保密,重庆,"这个世界，是伯乐制的。
千里马常有，而伯乐不常有。
世界上，最稀缺的是“伯乐”，生存土壤，生长环境，而非，没成长起来的“天才”
天才，在没成长起来前，就是个普通人，罢了。
你把爱因斯坦，放在原始社会，他也不可能，开创出相对论，说不定哪天，被人煮在锅里吃了。更不要谈科学研究。",1
云端的彼方,保密,上海,我记得没错的话…阿帕奇不迭代是因为近年来美军的战略方向从大国战争转向压制区域强国，以这个战略目的来看，阿帕奇确实足够了，而且美军确实叫停了新一代空优直升机平台和对地直升机平台的研发,1
林登奈,男,辽宁,"搞防护的只有毛子，阿帕奇其实挺脆的。被绿绿用ak打下来过，直接射的驾驶员还是武器操作的来着。相比之下雌鹿抗造多了。至少这种事不会出现
但这种防护就跟阿尔金头盔似的。你说能不能防 能，但不咋有必要。毕竟叠再多加甲也扛不住防空导弹。。。",1
遠藤屮弘土,保密,河南,重型武直，放到到现在绝对不是最优选，采购和驾驶员成本太高，完全不如察打一体无人机和自杀式无人机,1
weezers,保密,江苏,"一款武器的强弱是有很多时代特色的。更是背后平台系统的强大。最早直升机做为旋翼机是不会看好的，要速度没速度，要高度没高度，武器荷载又小。战场生存能力也不强。所以欧洲那会是没有市场的。直到了，二战以后，美国开始研究特种作战和新型登陆作战，这时候直升机因为可以不受地形制约，才被美国人大量制造和使用。
     所以直升机做为一款系统武器，它的背后是新型的作战理念和模式。
    到了让美苏冷战时期，武装直升机是做为一款反地面装甲力量的系统武器制造和使用的。以及美国在越南战争和丛林作战的需要。
    所以阿帕奇武装直升机的强大是美国国运的强大，先进作战理念。
    而美国为啥要研究这些东西，背后是因为，在对日作战，对朝作战，对苏联冷战，对越南作战的，损失后，总结经验教训，才造出了，武装直升机，钻地弹。等等。本质是，打击非昂塞民族国家。",0
是佑似右,男,重庆,科曼奇项目取消后，大致武装直升机就是阿帕奇这一类了，缝缝补补换新航电，又双叒叕战几年[doge],1
3kkoout,保密,广东,阿帕奇可以超视距作战吧,0
F15E打击鹰,男,湖南,"upup,什么时候能讲讲f15或16？[打call][打call]",1
林中飞雁,保密,未知,未来得世界是。智能化单兵武器，像直升机这种东西以后面对无人机 智能单兵导弹  只能瑟瑟发抖，时不时从森林里面  建筑物里 给直升机一个小小的智能武器震撼,0
fharrygo,保密,吉林,小时候把这玩意贴了满墙[笑哭][笑哭][笑哭]实在是太帅了啊[打call][打call][打call],2
昵称,性别,地区,评论,点赞
小肖ffff,男,重庆,以前的同学有个华为销售，日常就是黑小米然后猛宣传nova11se[妙啊],257
深海の秋刀鱼,保密,辽宁,大叔喜提新机,31
龙呀小个霜,男,江苏,特意加了一台买不到的手机不让某手机太尴尬，挺好[doge],2657
Phoenix-与问天下,男,吉林,这个11SE正儿八经售卖的产品，红米这种运营商定制机，有没有比较了解的兄弟，其他厂商有吗？,2984
寒霜之学士,男,山东,古老的架构，古老的核心，崭新的手机,419
ingDreams,保密,广东,1999 甚至不让k70e上场[笑哭],801
阿月萌萌哒,保密,浙江,[doge]据我所知有个机子叫k70e，也是1999，巨龙敢拿来对比吗[doge][doge],1004
Zhiidao,保密,重庆,不懂的人真的太多了!!!,415
守宇神,男,北京,我的朋友你终于当了一次英雄[脱单doge],299
